re_mm,Le_mm,rt_mm,rm_mm,L_mm,n,bulgeA,bulgeX,G_speech_dB,refl,print_cost,step_ratio
1.678811215915006727e+01,3.320373478101280540e+01,2.175205292217164654e+01,9.015558483003785284e+01,3.237833814942337085e+02,2.418394120681661263e+00,-7.999115256118769640e-03,4.750380491339797340e-01,1.587109209903048956e+01,4.098293270166851188e-01,1.484711259376328307e+00,1.678791564746686005e+00
1.518371264095235240e+01,5.095315970603797950e+01,2.080915372633261029e+01,1.306090778694286882e+02,1.686234299504254466e+02,3.724939431101335519e+00,1.703735899732756465e-01,6.993941289245889648e-01,1.689482977317020840e+01,6.905525351315365823e-01,4.292470358687382470e-01,1.878247784400850495e+00
1.946742086362172586e+01,3.166376526108797052e+01,2.016797993425394608e+01,1.317571613959069907e+02,3.825135199736351979e+02,2.805413625050999560e+00,-2.417141137036302179e-02,7.929907421195999673e-01,1.845620248818553932e+01,2.488063137147099868e-01,1.700896597572057356e+00,1.073267467251797891e+00
2.000000000000000000e+01,1.888893030716263866e+01,2.311744701496785481e+01,1.504458264304667523e+02,3.092512503769370369e+02,2.287225999546703026e+00,-3.524670724612807837e-02,7.836362136401114897e-01,1.948078262155937068e+01,3.315801926312617609e-01,1.736992046416948376e+00,1.336040891224615557e+00
1.744387113022779801e+01,3.316391700745767679e+01,1.845855068071784899e+01,8.002565961681044371e+01,2.463929169018470020e+02,2.244872338641844767e+00,-1.721331500519611771e-02,5.358561810814148618e-01,1.482611900806072569e+01,3.745172688128335370e-01,1.347082920580015442e+00,1.119720056666188235e+00
1.854707594380106173e+01,3.112046565313850621e+01,2.194164879403307822e+01,9.761199413980848760e+01,1.779979705326165913e+02,2.358404735091096605e+00,-4.565852567994426250e-03,6.159953222187659616e-01,1.557938537573855875e+01,4.642378342756556808e-01,3.354340645487297601e-01,1.399547420365809369e+00
1.514275727193229315e+01,5.159592109423407180e+01,2.104902910928451476e+01,1.377279032838827106e+02,1.652722417006131934e+02,3.649587270048956000e+00,1.996276203951067030e-01,6.921199804782965925e-01,1.724641026614559536e+01,7.235002142368985867e-01,4.609279448555251846e-01,1.932209510908594829e+00
1.635093841136178838e+01,3.094379165996528158e+01,2.175856433982936622e+01,8.763090210919796164e+01,3.229444645715528850e+02,2.491633831126276455e+00,-8.636930735898466424e-03,4.924384532006072512e-01,1.562958480521491289e+01,4.383135713567112290e-01,1.469041782375331895e+00,1.770822811439502154e+00
1.828532024063293804e+01,2.662532590889665229e+01,2.129371528853290840e+01,8.731410597443030497e+01,1.443225972234431538e+02,3.645056906844213351e+00,-5.059650716058943648e-02,5.212557363792954535e-01,1.354653945533581272e+01,6.248585285328110972e-01,2.461625900990013771e-01,1.356118824028730518e+00
1.999116903661746036e+01,1.979677889935515367e+01,2.127093515857251660e+01,1.349470563203801419e+02,1.968348959781545489e+02,1.812128076126440224e+00,1.448038364995595240e-01,7.974135157922297434e-01,1.769926794730194075e+01,4.622324734907548027e-01,5.256880325002388776e-01,1.132131266550675086e+00
1.742374372641118185e+01,2.517424112654774859e+01,1.978002354545851560e+01,8.700296923632174639e+01,1.749270291318187844e+02,3.112875454607985315e+00,1.807965690832597297e-02,3.960692806671110011e-01,1.463609863816126833e+01,4.930742376368854596e-01,2.753673062011910977e-01,1.288755877703241293e+00
1.521291513708849230e+01,5.654846139890350543e+01,2.079576950674221791e+01,1.169984947010190126e+02,1.591088489173337734e+02,3.852348863387920375e+00,1.653968518340350191e-01,6.964652286217474231e-01,1.612188285330159232e+01,6.797758368267897700e-01,3.689667310028302838e-01,1.868637694091577428e+00
1.871487304478328895e+01,2.604619897946038876e+01,1.946533622562214561e+01,6.012579003239756759e+01,1.200284516282142420e+02,3.832011331360610118e+00,-4.518976880473538765e-03,4.370240523990936987e-01,1.125325669029490783e+01,5.647553892347820792e-01,1.622587037706334223e-01,1.081807651172048468e+00
1.741770522585233394e+01,2.561073106020768364e+01,1.984849240706030571e+01,8.511142458085143403e+01,1.744251027039468056e+02,3.117459873275785665e+00,1.727938555699654738e-02,3.969062316117225597e-01,1.451602299551844588e+01,4.884170822115923016e-01,2.701819443225784712e-01,1.298593361170735871e+00
1.509645900311311273e+01,5.112994871561833321e+01,2.056390649082397459e+01,1.304890147878324171e+02,1.595406653940856074e+02,3.758709245643592212e+00,1.814266941340405837e-01,7.070478082955893306e-01,1.654818695957901653e+01,7.142656435148783123e-01,4.185872395552771574e-01,1.855500419272641643e+00
1.746886461633784648e+01,2.465399694187913937e+01,1.980992876200228281e+01,7.937070354177700438e+01,2.142496805299795142e+02,3.098181651719709162e+00,4.780860750872011067e-02,3.966746086522939807e-01,1.422006101182034321e+01,4.452530297101828793e-01,1.295760908055887839e+00,1.285986677568021985e+00
1.531086258100420316e+01,5.029812330959148170e+01,2.082557857285691227e+01,1.376105645160204745e+02,1.625686293842788359e+02,3.546595007124525800e+00,2.529394113884957107e-02,7.096769072489809149e-01,1.677314702383829825e+01,6.490864549355570556e-01,4.438274172202314460e-01,1.850098428650533755e+00
2.000000000000000000e+01,3.135809212480887709e+01,2.140690493172877851e+01,1.332965607619776165e+02,4.997236898209288825e+02,2.704662538848422670e+00,-4.910246690148126203e-03,7.459492338949292867e-01,1.847548821841731836e+01,1.862344643045917014e-01,2.902409579073172097e+00,1.145638946890184640e+00
2.000000000000000000e+01,3.111061395206255042e+01,2.065170184679065812e+01,1.456936945195149633e+02,5.800000000000000000e+02,2.238078075907789621e+00,-6.354515825746800961e-02,7.946981973672108124e-01,1.932533779263436102e+01,1.499117272440289861e-01,3.156797933454261518e+00,1.066231972921841908e+00
