s0,d0_mm,d1_mm,Rf_rayl,phi,G_speech_dB,ripple_dB,refl
2.368754436925583351e-01,7.503229942562430033e+00,1.180558325485648474e+01,5.830778781894398577e+01,8.787283330214505916e-01,1.903781961804741485e+01,8.317755016550565372e+00,2.768854138442106705e-01
3.770941783205619593e-03,8.461424949368845816e+00,1.200000000000000000e+01,5.661942506895405813e+01,8.659325698430615503e-01,2.173817464689977186e+01,3.928847552417141031e+01,4.814801760025400612e-01
2.030523491704370465e-01,9.167013282471087265e+00,1.199176853707271917e+01,5.929829896265685818e+01,8.910380112958059540e-01,2.010441626668027126e+01,1.064395492382199393e+01,3.419187648745711239e-01
2.986426288471762946e-01,3.607863895838955948e+00,8.390440997065471862e+00,3.140254091134334757e+01,9.314907102479940137e-01,1.825119892488674722e+01,9.683981491149070919e+00,2.358266800437401611e-01
1.068724996811072463e-02,8.462179505462277262e+00,1.200000000000000000e+01,5.672266068322556265e+01,8.637245454897752861e-01,2.091710746317590974e+01,2.294889916348627068e+01,4.744098189299279511e-01
1.646742512523273194e-01,8.532584036534551331e+00,1.197877068521873412e+01,5.952725199579830928e+01,8.935435157283043717e-01,1.991046125578793635e+01,7.276716554077875543e+00,3.565397725404944040e-01
6.816985328994691314e-04,8.463907740913706235e+00,1.199862863895296883e+01,5.621955935781857505e+01,8.613622510804200827e-01,2.121535272372249281e+01,2.690806406380681892e+01,4.826375950344978794e-01
0.000000000000000000e+00,8.645868366752765155e+00,1.199965814509394235e+01,5.888594293324617013e+01,8.649499270047321664e-01,2.067692906564192157e+01,1.066157274761060947e+01,5.549841170786881106e-01
2.108141283633245822e-01,8.459646231476536826e+00,1.199043881002536338e+01,6.000000000000000000e+01,8.925360975126840346e-01,1.965428700135939977e+01,6.907115636067825193e+00,3.050151087806336481e-01
3.103914109093445367e-02,8.693841877892484860e+00,1.200000000000000000e+01,5.841062757952736462e+01,8.744107695029118554e-01,2.025756802121209432e+01,1.102264178754894175e+01,5.050205947765372683e-01
0.000000000000000000e+00,8.450985674141344717e+00,1.200000000000000000e+01,5.657785334148577761e+01,8.522533140422675624e-01,2.051214149562511224e+01,1.392842679391610261e+01,4.707928613157765785e-01
0.000000000000000000e+00,8.573235689866377740e+00,1.199996855514796223e+01,5.779262929309535224e+01,8.671723678801055435e-01,2.073231313063176628e+01,1.321989302091560603e+01,5.275064930178617884e-01
0.000000000000000000e+00,8.435305168990550939e+00,1.199575226481624135e+01,5.735865827339673473e+01,8.656969540973893373e-01,2.154462618683160002e+01,3.235092172383318143e+01,4.902705987652065112e-01
2.243697151653490651e-01,7.493521815927720375e+00,1.180850909142504790e+01,5.847374737900199904e+01,8.775769585836900033e-01,1.911834417570770484e+01,7.585774259310252177e+00,2.788741903760641461e-01
0.000000000000000000e+00,8.657424031214715043e+00,1.200000000000000000e+01,5.898015773516441129e+01,8.649612123049713608e-01,2.066181012673723316e+01,1.014101279316180282e+01,5.615638130546903861e-01
0.000000000000000000e+00,8.461943248296407205e+00,1.200000000000000000e+01,5.665637149903992054e+01,8.641907336849842247e-01,2.228533172954359287e+01,4.813627192524680254e+01,4.891513562444595453e-01
