re_mm,Le_mm,rt_mm,rm_mm,L_mm,n,bulgeA,bulgeX,G_speech_dB,refl,print_cost,exit_deg
1.858585066200824798e+01,3.660593532784768911e+01,1.891043098826313340e+01,6.395465587193562840e+01,2.440762174478110182e+02,1.946004062274978574e+00,-3.045690616127673042e-02,4.887558050581001790e-01,1.320685908192395708e+01,3.879169730912474523e-01,1.312518395433784235e+00,1.969336524445609626e+01
1.651646567154989498e+01,2.907994986796141390e+01,1.756048048063601996e+01,6.000000000000000000e+01,1.727607872414397150e+02,3.056280854139293623e+00,-1.244277773121145181e-01,5.102857763405780345e-01,1.083604400849083049e+01,6.035761262975088970e-01,1.973150321843825938e-01,3.669680509392699008e+01
1.885425168313242494e+01,1.045570370373330604e+01,2.210428845113642993e+01,1.380662602744203866e+02,4.424238951661907322e+02,1.568798083811737687e+00,-1.743557796267340143e-01,7.490535304515809623e-01,1.796050672135675086e+01,3.335389462227125734e-01,1.976550275913150800e+00,2.242443198357416634e+01
1.960046692531287604e+01,1.647313749345876843e+01,2.169497120004571400e+01,1.435750939533813835e+02,5.012631863007599691e+02,1.737314507961128074e+00,-1.410864790398042024e-01,8.000000000000000444e-01,1.810617683363646435e+01,2.312197561183021721e-01,2.095808540025701383e+00,2.324109578940907639e+01
1.936594877871138820e+01,2.642285178948420565e+01,2.392859689416922464e+01,1.042015746727794863e+02,2.257860133387153496e+02,1.233918694977405917e+00,-2.908834006933705418e-02,4.964421025392131148e-01,1.602458676249623437e+01,4.476273094756027526e-01,1.492859601858153251e+00,2.366899248066920336e+01
1.744776290138630870e+01,4.614629162222747993e+01,1.803629543756523645e+01,6.225563609726408743e+01,1.709784610283055031e+02,2.278246920166544953e+00,-1.880421460561203587e-02,3.965851556852806881e-01,1.241867501529790374e+01,4.245955074782960526e-01,2.281473830943997194e-01,3.039264717667704119e+01
1.863331137011577354e+01,3.690981537635613563e+01,1.895936394193218177e+01,6.509222083976888484e+01,2.501993073131912126e+02,1.920340874944317822e+00,-2.942713224547214429e-02,4.883703370276702982e-01,1.335708891188177461e+01,3.801781679919184476e-01,1.323842574290164054e+00,1.943879788556103350e+01
1.920539766053795816e+01,1.303416997958815138e+01,1.964674353046981992e+01,1.550000000000000000e+02,5.630733927891200210e+02,1.207009023892275934e+00,-2.078750187292738860e-01,7.829536774592176229e-01,1.899168588622695353e+01,3.663045221196467582e-01,3.452504541290600137e+00,1.655678354886966019e+01
1.980141903267539405e+01,1.515838165787925362e+01,2.119988672493276383e+01,1.504897517762277062e+02,4.923345347229921458e+02,1.410218594232212075e+00,-1.640372152171118980e-01,7.567090320048568408e-01,1.849738565987724215e+01,2.791894673683341099e-01,2.201541296216404930e+00,2.043555771064113102e+01
1.928081805267895277e+01,2.794341138957206994e+01,2.416163379623878527e+01,1.036617118236129329e+02,2.450146772015893646e+02,1.184998936205883702e+00,-2.897358600674788259e-02,4.951628410647697098e-01,1.616418718956731126e+01,4.567926045971261728e-01,1.531445675061463119e+00,2.101891570630226624e+01
1.998592879965823954e+01,2.478322209399235732e+01,2.340505238689290479e+01,1.550000000000000000e+02,4.808093098585317193e+02,1.058561833381543194e+00,-1.088002070024619156e-01,7.364459242527211513e-01,1.885841949049069299e+01,4.201530916805958360e-01,2.376629235438157295e+00,1.620571624070888106e+01
1.857712492972384410e+01,3.766565601348740699e+01,1.891802913679454790e+01,6.000000000000000000e+01,1.780594757025571084e+02,1.952003850844626687e+00,-3.484774995740642922e-02,4.798132115711571388e-01,1.248461528727984060e+01,4.153578904197404165e-01,2.362054941132751829e-01,2.417225360691121594e+01
