re,Le,rt,ra,rb,rm,L,G_dB,refl,Pcost
2.000000000000000000e+01,4.193950855263841504e+01,2.051491126091521977e+01,3.292136708112624888e+01,5.892303137197294660e+01,1.298994195591459118e+02,5.550578986891690647e+02,1.660716397152502566e+01,1.855072109980163697e-01,3.022719754922875257e+00
1.910494878499173765e+01,1.936875047373767700e+01,2.224124558956638253e+01,3.006296488285826740e+01,6.929536376660075803e+01,9.654121749335286040e+01,2.619181849284451573e+02,1.590341571888303029e+01,4.419563883474682542e-01,1.486231817802141197e+00
1.993677839233771820e+01,3.680568513450470647e+01,2.149040087325871795e+01,3.679261154136068512e+01,7.785942897519893791e+01,1.242594077948805875e+02,4.678086827925927196e+02,1.773349505833679984e+01,2.483875951802385629e-01,1.969606172660255172e+00
1.684026773388374920e+01,4.379676254978077310e+01,2.036664355917536895e+01,3.518329050594338980e+01,1.205800614282968724e+02,1.400757493931451165e+02,2.665993830501506636e+02,1.792207826516820290e+01,5.646658316559174384e-01,1.780426111085539942e+00
1.347227407230508334e+01,1.000000000000000000e+01,1.418956815399599058e+01,1.300000000000000000e+01,1.628958557081724479e+01,6.000000000000000000e+01,2.000000000000000000e+02,9.756719184377068643e+00,6.337618710138800404e-01,1.723125487883994389e-01
1.996207154461794886e+01,1.683995849399998690e+01,2.440552823917686709e+01,4.623552045433081759e+01,8.880767639307003947e+01,1.102293964783979305e+02,2.074766765272503335e+02,1.615416546294509104e+01,5.024436628489790113e-01,5.083700545116865976e-01
2.000000000000000000e+01,2.677632274185783245e+01,2.019098067527468388e+01,3.701389651635476241e+01,1.273357571448612902e+02,1.550000000000000000e+02,4.866877804689518143e+02,1.970953104701051473e+01,3.571015598287330950e-01,2.347365512110569874e+00
1.332987803856953235e+01,1.007760368882882496e+01,1.363622906850622662e+01,1.322871171229065723e+01,2.093660209348868051e+01,6.129541725813809450e+01,2.000000000000000000e+02,1.078683167461018755e+01,5.597346831495367825e-01,1.832734058161512303e-01
2.000000000000000000e+01,2.249801354320816316e+01,2.055570255845928074e+01,2.376182643331937783e+01,3.223675084243448907e+01,6.096432523473819742e+01,2.000000000000000000e+02,1.253302049497795068e+01,4.189913051687472745e-01,2.471585484299599067e-01
1.963737257571402139e+01,2.712655933828071042e+01,2.183701808338746631e+01,4.756266330402969800e+01,9.791084746201012479e+01,1.250727493077330763e+02,2.242334739006631992e+02,1.657088518100396612e+01,4.805575532088094959e-01,1.600749864232652309e+00
1.808012649085238266e+01,1.511657544105264073e+01,1.821684194532494772e+01,1.540577736418564392e+01,3.004101253275141303e+01,6.000000000000000000e+01,2.001969387198371919e+02,1.181064177539518845e+01,4.962396078877734928e-01,2.146021363899173195e-01
1.992955497315090341e+01,4.156901191272228147e+01,2.056205011011016026e+01,3.370000154828179717e+01,6.171531822185499294e+01,1.326633381479710181e+02,5.206639328755894667e+02,1.639759532075447268e+01,1.820937350279814571e-01,2.996084119198136442e+00
2.000000000000000000e+01,1.842542065541431384e+01,2.061861114131186667e+01,2.555395521168157913e+01,5.615196932483626568e+01,1.183588949991785881e+02,5.222394699247855669e+02,1.628756199404499938e+01,2.269263022209065950e-01,2.860161403182068351e+00
1.769558199418527167e+01,2.657358765373759013e+01,2.068062482330654106e+01,5.021890563780820571e+01,1.159414979343248291e+02,1.550000000000000000e+02,5.961521632502875718e+02,1.988900966851375784e+01,3.879869985625141737e-01,3.617047048331784254e+00
1.677606823663088420e+01,4.462751765701288775e+01,2.036939291314081402e+01,3.781295160917460407e+01,1.205891980575438254e+02,1.394409621416275513e+02,2.748685599012837883e+02,1.798458840558495453e+01,5.555444605272472636e-01,1.802091763452824624e+00
1.343185709656219373e+01,1.000000000000000000e+01,1.382237747938127015e+01,1.328678678058128959e+01,2.337236489687331087e+01,6.000000000000000000e+01,2.000000000000000000e+02,1.108865745093022070e+01,5.438541166602368637e-01,1.860427943956486641e-01
