rt,rm,L,k,H0,H1,r1,ffold,G_dB,refl,Pcost,fc_Hz
1.448420176509165103e+01,1.230000000000000000e+02,6.616571580275093538e+02,1.665376059740902304e-01,9.836706926577228671e+01,1.400053729869509027e+02,4.479097104623141945e+01,5.999999999999999778e-01,1.779919151167303326e+01,4.261397478161750296e-01,3.049967618174846518e+00,1.764889701978469247e+02
2.396242319593800119e+01,1.188257567152641769e+02,8.711085331725579408e+02,1.057224542222270636e-01,9.543164760820204151e+01,2.455498046923563038e+02,4.551701887081367204e+01,6.744820277802214825e-01,1.763430266630521004e+01,2.120552610896395684e-01,3.773723334039934763e+00,1.003413124784639763e+02
1.322753598516986351e+01,6.193720443244261276e+01,3.000000000000000000e+02,2.253166387775610569e-01,4.000108447409563439e+01,8.000000000000000000e+01,2.999290516198048806e+01,8.283937786148911631e-01,1.345444104242246830e+01,5.263547574233387039e-01,2.046409516437567522e+00,2.809245869023174009e+02
2.444613372557661890e+01,1.146663449967449111e+02,3.488792396871753567e+02,1.660339147566031737e-01,7.525857756430701784e+01,2.319533651123690561e+02,2.718336005171406100e+01,8.069521757879956070e-01,1.617009800123259566e+01,2.026333138482356855e-01,2.485305731967489606e+00,2.418373891349837947e+02
1.318065238277948303e+01,1.206926053163881534e+02,7.840344591141223418e+02,1.266269349565397329e-01,6.750510942185495367e+01,1.391718234479198770e+02,4.245760616877336702e+01,6.219139470869051722e-01,1.792877255909702683e+01,4.092174915994195028e-01,3.172488025240877363e+00,1.541892744745057087e+02
1.996999086360911591e+01,7.307327048903067634e+01,3.000000000000000000e+02,2.265833548516129059e-01,4.264124829020926910e+01,1.231821237762597860e+02,3.128855136484619237e+01,8.509738496833635368e-01,1.444578332955371991e+01,3.697951342230267335e-01,2.141435614910785823e+00,2.360536034869849686e+02
1.339124117330900887e+01,5.703008058638029354e+01,3.000000000000000000e+02,2.168998948786829417e-01,4.058209155103538279e+01,8.000000000000000000e+01,3.382132817219138587e+01,8.858882406114466646e-01,1.293765271897683355e+01,5.149161173089686905e-01,2.030225641160533723e+00,2.636664009883660924e+02
2.277058491899937209e+01,1.229118065676919969e+02,5.767498212091560390e+02,1.908026682863802614e-01,1.062510393386941274e+02,2.800000000000000000e+02,2.870152182855465739e+01,7.572755615246364869e-01,1.721912206505837517e+01,1.917302903649173995e-01,3.162178081128444784e+00,1.595819296251472110e+02
1.623495298324877822e+01,1.131483939234274345e+02,6.452358377928966320e+02,1.458239741597146810e-01,9.520466954623736910e+01,1.250907160126637763e+02,4.318511752925128633e+01,6.187419419079739358e-01,1.757168067709029202e+01,3.629832736981428720e-01,2.971299340551365020e+00,1.642633579773290364e+02
2.263097690451017741e+01,1.196043101991040629e+02,3.304735908227610821e+02,1.792594617551056257e-01,8.267701929774827363e+01,2.272543509005259921e+02,3.548245435941814208e+01,7.997663175359865928e-01,1.592874350451091026e+01,2.115367405729758066e-01,2.449874077500831859e+00,2.750157870377831841e+02
1.429927905054892712e+01,1.212220890705889929e+02,7.936441890841560962e+02,1.162290188720466744e-01,6.726145086429812636e+01,1.480833542469596011e+02,4.303318744087167147e+01,6.537257702030053741e-01,1.812769540957074454e+01,3.620121895509622600e-01,3.221052322494305287e+00,1.470202992559200084e+02
2.035611129814191145e+01,6.031812687330814526e+01,3.000000000000000000e+02,2.109794843642148754e-01,4.621102835929171704e+01,8.000000000000000000e+01,3.164850393305941978e+01,8.276599768351884379e-01,1.307355510624257278e+01,4.137986063133005099e-01,2.096802566310663973e+00,1.976620902427205237e+02
2.408872266024120634e+01,1.139321413290509781e+02,3.006112021680949624e+02,1.731099643028081447e-01,8.088079610337086933e+01,2.486811904480402973e+02,3.348002129219432987e+01,7.945124195886632545e-01,1.551558618568480341e+01,2.138982119437781992e-01,2.392051596614646947e+00,2.821764482030097838e+02
1.585048965170850366e+01,1.083199150147706860e+02,6.041865837923720619e+02,1.557539477321735477e-01,9.523009780574703598e+01,1.240519909644945926e+02,4.292683033612863142e+01,6.352838183383215931e-01,1.718000917916396020e+01,3.395212072742658793e-01,2.851365235654861330e+00,1.736486423675190167e+02
2.025830963456260392e+01,6.793102405641600683e+01,3.000000000000000000e+02,2.113612971672858276e-01,4.744171431705061792e+01,8.225057909048112492e+01,3.151933810689309468e+01,8.208185721780235644e-01,1.389700464548648107e+01,3.843673252216322500e-01,2.128934163120231204e+00,2.201671111437466948e+02
2.368567911845143925e+01,1.042029449338902793e+02,3.000000000000000000e+02,1.810124081360517390e-01,9.273463308274396866e+01,1.127702489429686068e+02,3.115519308788899266e+01,6.679468033717171904e-01,1.559053860699953553e+01,2.371766864102831385e-01,2.316189047251278499e+00,2.695788364768572478e+02
2.367421209009529193e+01,1.158214601666936545e+02,4.037510574074267993e+02,1.780578698830577178e-01,8.624004219030868512e+01,2.536462410406105050e+02,3.329827873489763590e+01,8.012425776067071403e-01,1.666009889945204847e+01,1.918771562950351839e-01,2.645755989457208468e+00,2.146639133959407957e+02
2.401625283538632871e+01,1.228336180522080099e+02,3.895716655713749788e+02,1.701626301493631144e-01,7.798780456731171284e+01,2.374272859824275201e+02,2.712447974183698207e+01,7.970479660720380943e-01,1.652625859830281385e+01,1.820488635726483784e-01,2.608671846771997593e+00,2.287039354820627182e+02
1.859891430527969902e+01,1.230000000000000000e+02,8.407583047762188926e+02,1.049907321611701777e-01,1.031745023617699246e+02,2.388205168159570349e+02,4.795841747204640626e+01,6.694812370723860484e-01,1.848411359726830838e+01,3.055916125605595002e-01,3.655203069912708713e+00,1.226573844773529487e+02
1.771098191239528674e+01,5.799245997467205171e+01,3.000000000000000000e+02,2.258529124967050272e-01,4.354983032961799694e+01,8.015975495306629739e+01,3.436719633793226336e+01,8.393886975084513535e-01,1.301286529543702564e+01,4.381467149174163023e-01,2.066686851726356799e+00,2.158363531472232921e+02
