re_mm,Le_mm,rt_mm,rm_mm,L_mm,n,bulgeA,bulgeX,salience_dB,refl,print_cost,step_ratio
1.978903579721572115e+01,2.453796776828228587e+01,1.980046971794890354e+01,1.350861243511583609e+02,5.084769059713627826e+02,3.597299633304583022e+00,-3.805789729132117577e-02,8.000000000000000444e-01,2.927065337640068776e+01,2.014936587236752230e-01,2.814359705373736809e+00,1.001155915230724780e+00
1.133928943033192382e+01,2.644135848467981020e+01,2.335023579125362403e+01,1.497050050046302090e+02,1.705540431728247199e+02,2.683536183833661770e+00,2.335486640743054121e-01,5.727127726538848718e-01,3.198482501346271789e+01,8.155217164281874931e-01,5.546085994054873458e-01,4.240439385952792684e+00
1.189275236300273519e+01,3.482996141372775867e+01,1.296623945480449791e+01,6.151867089350746198e+01,1.310165927417539820e+02,3.887055749820822470e+00,-2.391774220723924885e-02,3.718107835031640995e-01,2.234129765405136681e+01,6.676786881742861057e-01,1.487228848857798102e-01,1.188675533317494981e+00
1.975475941856651829e+01,3.129381784227551222e+01,2.335252236138982340e+01,1.481253643973892906e+02,3.942209539099195013e+02,2.456714219542103894e+00,-4.778297693883504921e-02,6.650150126690739238e-01,3.035375508112000631e+01,2.713343197814239716e-01,1.852270391788097603e+00,1.397410824920304107e+00
2.000000000000000000e+01,2.470015058560171539e+01,2.014661906075875564e+01,1.380749889438239961e+02,5.520362781433276496e+02,3.126860881649572654e+00,-6.924887066053297610e-03,7.251405912453804392e-01,2.960498434638627430e+01,1.455257585233087625e-01,2.939336397362144471e+00,1.014715648948320004e+00
1.142028188451041437e+01,3.483560257340699451e+01,1.211964368737278797e+01,6.000000000000000000e+01,1.205551022922039408e+02,3.989682240599142560e+00,-3.470086824739646719e-02,3.897151333017868091e-01,2.109241904127800282e+01,7.231984737146205378e-01,1.360929625274233667e-01,1.126227315699064535e+00
1.999999508784678071e+01,2.661918984698028723e+01,2.012727135007036239e+01,1.454559846259794540e+02,5.230517106975322577e+02,3.223900548773116270e+00,-5.779747126738794122e-02,7.137439011496461427e-01,2.997452117405178740e+01,1.797600643762539141e-01,2.916701896105233338e+00,1.012768127485568659e+00
1.757630821800226428e+01,3.808371620761665355e+01,1.901824115265841542e+01,6.016039748565862766e+01,2.085905301226621020e+02,2.570208217371764636e+00,-4.534575139969324736e-02,4.361912674647314692e-01,2.399732484836466995e+01,4.660373155012239033e-01,1.250804455649338287e+00,1.170807189022584405e+00
1.800467006007070125e+01,3.464941364617218511e+01,1.828488811926914792e+01,6.543410867697191691e+01,2.436384979855793063e+02,2.196848032542377371e+00,-2.395076195591164595e-02,4.965318506728529924e-01,2.437128075902133162e+01,3.872266317539321823e-01,1.302911209106430546e+00,1.031369490652547904e+00
1.827826159215292634e+01,3.464975330652774232e+01,1.835722605838955701e+01,6.532682611160835506e+01,2.431106119884205157e+02,2.200185903941639598e+00,-2.394750720675610511e-02,4.927704330307550173e-01,2.431444743757491267e+01,3.867549846457118412e-01,1.302781479190505465e+00,1.008658923521516204e+00
