rt_mm,rm_mm,L_mm,n,bulgeA,bulgeX,G_speech_dB,DI14_dB,refl,vol_L,print_pen
1.617119983211313894e+01,8.964574211932971082e+01,2.039159385149353625e+02,1.624394153193931434e+00,5.346830928747954570e-02,2.587016906052171383e-01,1.722971359432225924e+01,7.290506607175731624e+00,4.200240414402904854e-01,3.136255451313379461e-01,1.145654241796382422e+00
1.217735242197117884e+01,1.282880562161159048e+02,4.344609875462987247e+02,2.763082897488477130e+00,-9.150641153377543635e-02,6.843498965091412423e-01,2.379462858600732744e+01,1.031504083482202461e+01,2.785016270297696050e-01,6.314999075688035868e-01,2.310329276818785083e+00
1.101083660658817998e+01,1.314226501642845619e+02,4.106831125453274467e+02,2.614681538228763369e+00,-1.076915377519502420e-01,6.311125549896113851e-01,2.450729724840845947e+01,1.053225185196648006e+01,3.660237802341648194e-01,6.170804481467806468e-01,2.293345080389519453e+00
1.001146653866093494e+01,1.549965587139222407e+02,3.476218738623843478e+02,2.632784086852249850e+00,1.066216547014487738e-02,6.543495255145297396e-01,2.577174368825141215e+01,1.200300703690058768e+01,3.741635955843241601e-01,6.793195505129913103e-01,2.248301338473131850e+00
1.676184345348099569e+01,9.452179257716299787e+01,2.285431416366195094e+02,1.538263531511075088e+00,1.400938155340721025e-02,2.660889405093007642e-01,1.782372756110919454e+01,7.721979403900745886e+00,3.844948684852105281e-01,3.691630286009289774e-01,1.163245101169013918e+00
1.781430718875118657e+01,6.340877771393044071e+01,1.277805522231468700e+02,1.751031511970707388e+00,-6.200429515555768573e-02,2.000000000000000111e-01,1.407134727999095070e+01,4.787806608194823177e+00,4.930859287962629511e-01,1.500835516406951176e-01,1.091271823016533471e+00
1.721172600628543137e+01,7.167691366983626722e+01,1.200000000000000000e+02,6.654421120125586508e-01,-9.597539250641023978e-02,2.565173530551476677e-01,1.104205574931504152e+01,5.609029981958147282e+00,6.254258744991206820e-01,2.019671029077836355e-01,1.085714285714285632e+00
1.600357620497296551e+01,9.004707264554915014e+01,1.889500090810894903e+02,1.559285569112866865e+00,5.137834076604402139e-02,2.861828868881225452e-01,1.699396374765917272e+01,7.326576176539712826e+00,4.639741613021845512e-01,2.989719854685211065e-01,1.134964292200778324e+00
1.243173928629414426e+01,1.256497399906907191e+02,4.155071854344217854e+02,2.633696760395701997e+00,-9.036435929927442989e-02,7.230071369369008849e-01,2.352725762623308725e+01,1.012904714164008269e+01,2.760932367272043164e-01,6.130769858213938051e-01,2.296790846738872460e+00
1.855171618200972006e+01,1.367334486948456345e+02,5.490622105078840605e+02,3.668999934442100486e+00,-4.208731473179075366e-02,7.304331831979429257e-01,2.057245348543077768e+01,1.088922472920541296e+01,1.753891987153059218e-01,8.184983282937235982e-01,3.392187293219917077e+00
2.966077879581036925e+01,1.527996799862463604e+02,5.026064844685698745e+02,2.809113302591784045e+00,-9.167240262438600129e-02,6.773070560159947240e-01,1.761516323074862811e+01,1.187652711075915590e+01,1.597060300699657820e-01,1.034644839299925012e+00,2.359004631763264470e+00
9.006110146109291392e+00,1.513690480173629851e+02,3.747662668157501571e+02,2.482758178103976920e+00,-1.618820716335576948e-02,6.218860038966517179e-01,2.683615015991579256e+01,1.179339308735547753e+01,3.468122151762478289e-01,6.961702259265261095e-01,2.267690190582678511e+00
1.853472019775261970e+01,1.347184360326286310e+02,5.425323412672473751e+02,3.710751593615194910e+00,-4.559813916457600147e-02,7.500035448801816163e-01,2.050225099457795963e+01,1.075554805822389781e+01,1.771250108538245660e-01,7.964985610000658856e-01,3.387523100905176499e+00
1.219787527085891199e+01,1.283999492706242620e+02,4.336500540457847706e+02,2.628056730542944308e+00,-9.080149613083605964e-02,7.214591329957342758e-01,2.386679955018407639e+01,1.032286816526913142e+01,2.657238827955129001e-01,6.468933593770265222e-01,2.309750038604132083e+00
